invoice_no,revenue_date,customer_code,product_code,amount_krw,incoterms,order_no,order_date
SI2024-00391,2024-12-09,C010,P-B,150765729,FOB 도착지,SO2024-00391,2024-11-18
SI2024-00394,2024-12-09,C007,P-B,163210399,FOB 도착지,SO2024-00394,2024-11-21
SI2024-00397,2024-12-09,C003,P-B,233597859,FOB 도착지,SO2024-00397,2024-11-26
SI2024-00590,2024-12-09,C010,P-C,180037653,FOB 도착지,SO2024-00590,2024-11-27
SI2024-00186,2024-12-10,C005,P-A,220408345,FOB 도착지,SO2024-00186,2024-11-19
SI2024-00198,2024-12-10,C004,P-A,391134961,FOB 도착지,SO2024-00198,2024-11-22
SI2024-00393,2024-12-10,C009,P-B,87086368,FOB 도착지,SO2024-00393,2024-11-15
SI2024-00191,2024-12-12,C008,P-A,258179225,FOB 도착지,SO2024-00191,2024-11-25
SI2024-00599,2024-12-12,C008,P-C,138780251,FOB 도착지,SO2024-00599,2024-11-23
SI2024-00592,2024-12-13,C006,P-C,132415543,FOB 도착지,SO2024-00592,2024-11-24
SI2024-00598,2024-12-13,C002,P-C,143889529,FOB 도착지,SO2024-00598,2024-12-01
SI2024-00194,2024-12-16,C006,P-A,442189050,FOB 도착지,SO2024-00194,2024-11-22
SI2024-00385,2024-12-16,C004,P-B,174072386,FOB 도착지,SO2024-00385,2024-12-02
SI2024-00603,2024-12-16,C005,P-C,145855408,FOB 도착지,SO2024-00603,2024-11-25
SI2024-00193,2024-12-17,C004,P-A,297212670,FOB 도착지,SO2024-00193,2024-11-22
SI2024-00388,2024-12-17,C004,P-B,187131541,FOB 도착지,SO2024-00388,2024-11-27
SI2024-00589,2024-12-17,C005,P-C,68820872,FOB 도착지,SO2024-00589,2024-12-03
SI2024-00613,2024-12-18,C801,P-C,445342056,FOB 도착지,SO2024-00613,2024-12-12
SI2024-00621,2024-12-18,C803,P-C,348363349,FOB 도착지,SO2024-00621,2024-12-15
SI2024-00624,2024-12-18,C803,P-C,386948826,FOB 도착지,SO2024-00624,2024-12-14
SI2024-00387,2024-12-20,C006,P-B,232309150,FOB 도착지,SO2024-00387,2024-12-04
SI2024-00398,2024-12-20,C009,P-B,113887743,FOB 도착지,SO2024-00398,2024-12-01
SI2024-00189,2024-12-23,C005,P-A,305510053,FOB 도착지,SO2024-00189,2024-12-05
SI2024-00192,2024-12-23,C010,P-A,194569037,FOB 도착지,SO2024-00192,2024-12-03
SI2024-00594,2024-12-23,C006,P-C,91137663,FOB 도착지,SO2024-00594,2024-11-28
SI2024-00602,2024-12-23,C007,P-C,126777355,FOB 도착지,SO2024-00602,2024-12-02
SI2024-00616,2024-12-23,C801,P-C,429329345,FOB 도착지,SO2024-00616,2024-12-19
SI2024-00619,2024-12-23,C802,P-C,456552401,FOB 도착지,SO2024-00619,2024-12-19
SI2024-00399,2024-12-24,C001,P-B,206066182,FOB 도착지,SO2024-00399,2024-12-06
SI2024-00188,2024-12-25,C007,P-A,340885106,FOB 도착지,SO2024-00188,2024-12-02
SI2024-00195,2024-12-25,C006,P-A,361458204,FOB 도착지,SO2024-00195,2024-12-15
SI2024-00383,2024-12-25,C003,P-B,175353879,FOB 도착지,SO2024-00383,2024-12-12
SI2024-00390,2024-12-25,C010,P-B,105588655,FOB 도착지,SO2024-00390,2024-12-11
SI2024-00600,2024-12-25,C007,P-C,172621186,FOB 도착지,SO2024-00600,2024-12-14
SI2024-00596,2024-12-26,C006,P-C,90840076,FOB 도착지,SO2024-00596,2024-12-04
SI2024-00617,2024-12-26,C802,P-C,326284903,FOB 도착지,SO2024-00617,2024-12-17
SI2024-00618,2024-12-26,C802,P-C,328076194,FOB 도착지,SO2024-00618,2024-12-18
SI2024-00384,2024-12-27,C001,P-B,95895947,FOB 도착지,SO2024-00384,2024-12-11
SI2024-00591,2024-12-27,C009,P-C,173047634,FOB 도착지,SO2024-00591,2024-12-11
SI2024-00593,2024-12-27,C009,P-C,76137471,FOB 도착지,SO2024-00593,2024-12-13
SI2024-00607,2024-12-27,C006,P-B,290397548,FOB 도착지,SO2024-00607,2024-12-18
SI2024-00611,2024-12-27,C004,P-A,272234797,FOB 도착지,SO2024-00611,2024-12-17
SI2024-00614,2024-12-27,C801,P-C,436661794,FOB 도착지,SO2024-00614,2024-12-19
SI2024-00615,2024-12-27,C801,P-C,338666805,FOB 도착지,SO2024-00615,2024-12-18
SI2024-00620,2024-12-27,C802,P-C,389086502,FOB 도착지,SO2024-00620,2024-12-20
SI2024-00622,2024-12-27,C803,P-C,339914333,FOB 도착지,SO2024-00622,2024-12-22
SI2024-00623,2024-12-27,C803,P-C,274773492,FOB 도착지,SO2024-00623,2024-12-19
SI2024-00604,2024-12-28,C003,P-B,349266255,FOB 도착지,SO2024-00604,2024-12-15
SI2024-00606,2024-12-28,C002,P-C,275924556,FOB 도착지,SO2024-00606,2024-12-11
SI2024-00396,2024-12-30,C007,P-B,143281422,FOB 도착지,SO2024-00396,2024-12-18
SI2024-00597,2024-12-30,C005,P-C,176456413,FOB 도착지,SO2024-00597,2024-12-10
SI2024-00605,2024-12-30,C010,P-C,279477235,FOB 도착지,SO2024-00605,2024-12-13
SI2024-00612,2024-12-30,C009,P-C,276188088,FOB 도착지,SO2024-00612,2024-12-10
SI2024-00608,2024-12-31,C002,P-B,440077419,FOB 도착지,SO2024-00608,2024-12-11
SI2024-00609,2024-12-31,C008,P-C,342374073,FOB 도착지,SO2024-00609,2024-12-17
SI2024-00610,2024-12-31,C009,P-A,274060029,FOB 도착지,SO2024-00610,2024-12-19
